Customer_ID,Customer_Name,City,State,Region
1,Vivaan Saxena,Kochi,Kerala,South
2,Aman Agarwal,Guwahati,Assam,East
3,Vivaan Bansal,Amritsar,Punjab,North
4,Vivaan Patel,Ranchi,Jharkhand,East
5,Isha Saxena,Coimbatore,Tamil Nadu,South
6,Sneha Patel,Lucknow,Uttar Pradesh,North
7,Pooja Agarwal,Bengaluru,Karnataka,South
8,Vikas Gupta,Patna,Bihar,East
9,Sneha Joshi,Surat,Gujarat,West
10,Pooja Khan,Surat,Gujarat,West
11,Nikhil Mehta,Delhi,Delhi,North
12,Priya Kapoor,Delhi,Delhi,North
13,Riya Malhotra,Mumbai,Maharashtra,West
14,Neha Gupta,Kolkata,West Bengal,East
15,Isha Jain,Delhi,Delhi,North
16,Simran Agarwal,Guwahati,Assam,East
17,Kavya Saxena,Kolkata,West Bengal,East
18,Arjun Jain,Indore,Madhya Pradesh,West
19,Nikhil Sharma,Bengaluru,Karnataka,South
20,Arjun Saxena,Kochi,Kerala,South
21,Meera Saxena,Ahmedabad,Gujarat,West
22,Rahul Kapoor,Ahmedabad,Gujarat,West
23,Sneha Gupta,Indore,Madhya Pradesh,West
24,Aditya Bansal,Indore,Madhya Pradesh,West
25,Rahul Mehta,Hyderabad,Telangana,South
26,Kavya Shah,Surat,Gujarat,West
27,Arjun Malhotra,Chennai,Tamil Nadu,South
28,Isha Verma,Pune,Maharashtra,West
29,Sneha Malhotra,Surat,Gujarat,West
30,Pooja Malhotra,Ahmedabad,Gujarat,West
31,Riya Singh,Amritsar,Punjab,North
32,Kavya Joshi,Lucknow,Uttar Pradesh,North
33,Pooja Gupta,Bhubaneswar,Odisha,East
34,Aarav Saxena,Kolkata,West Bengal,East
35,Nikhil Bansal,Mumbai,Maharashtra,West
36,Sneha Khan,Indore,Madhya Pradesh,West
37,Ananya Khan,Jaipur,Rajasthan,North
38,Aditya Mehta,Lucknow,Uttar Pradesh,North
39,Aman Bansal,Kochi,Kerala,South
40,Nikhil Malhotra,Hyderabad,Telangana,South
41,Priya Joshi,Hyderabad,Telangana,South
42,Priya Verma,Hyderabad,Telangana,South
43,Sneha Singh,Chennai,Tamil Nadu,South
44,Aarav Jain,Surat,Gujarat,West
45,Simran Mehta,Mumbai,Maharashtra,West
46,Aman Shah,Guwahati,Assam,East
47,Aarav Mehta,Bhubaneswar,Odisha,East
48,Vivaan Malhotra,Mumbai,Maharashtra,West
49,Meera Singh,Surat,Gujarat,West
50,Kavya Verma,Hyderabad,Telangana,South
51,Ananya Saxena,Ranchi,Jharkhand,East
52,Kavya Agarwal,Surat,Gujarat,West
53,Aman Malhotra,Pune,Maharashtra,West
54,Aarav Verma,Delhi,Delhi,North
55,Sneha Bansal,Kochi,Kerala,South
56,Arjun Kapoor,Bengaluru,Karnataka,South
57,Meera Gupta,Indore,Madhya Pradesh,West
58,Kavya Patel,Surat,Gujarat,West
59,Rohan Singh,Kochi,Kerala,South
60,Neha Joshi,Ahmedabad,Gujarat,West
61,Simran Verma,Pune,Maharashtra,West
62,Aditya Jain,Ranchi,Jharkhand,East
63,Vikas Kapoor,Indore,Madhya Pradesh,West
64,Karan Saxena,Ranchi,Jharkhand,East
65,Karan Bansal,Kolkata,West Bengal,East
66,Aman Saxena,Mumbai,Maharashtra,West
67,Vivaan Verma,Surat,Gujarat,West
68,Meera Verma,Indore,Madhya Pradesh,West
69,Isha Mehta,Coimbatore,Tamil Nadu,South
70,Rahul Malhotra,Hyderabad,Telangana,South
71,Ananya Gupta,Indore,Madhya Pradesh,West
72,Riya Sharma,Kolkata,West Bengal,East
73,Rahul Joshi,Lucknow,Uttar Pradesh,North
74,Aarav Gupta,Indore,Madhya Pradesh,West
75,Arjun Singh,Kochi,Kerala,South
76,Aditya Gupta,Hyderabad,Telangana,South
77,Karan Kapoor,Ranchi,Jharkhand,East
78,Priya Agarwal,Pune,Maharashtra,West
79,Neha Khan,Mumbai,Maharashtra,West
80,Nikhil Patel,Kolkata,West Bengal,East
81,Karan Patel,Kochi,Kerala,South
82,Nikhil Agarwal,Patna,Bihar,East
83,Arjun Khan,Bengaluru,Karnataka,South
84,Karan Shah,Pune,Maharashtra,West
85,Ananya Patel,Bhubaneswar,Odisha,East
86,Aman Singh,Jaipur,Rajasthan,North
87,Vikas Malhotra,Jaipur,Rajasthan,North
88,Riya Khan,Lucknow,Uttar Pradesh,North
89,Rahul Khan,Pune,Maharashtra,West
90,Aditya Joshi,Kochi,Kerala,South
91,Aditya Singh,Amritsar,Punjab,North
